sample_id	superpopulation	population	sex
NA19160	AFR	YRI	1
NA19171	AFR	YRI	1
NA19172	AFR	YRI	2
NA19175	AFR	YRI	1
NA19176	AFR	YRI	2
NA19184	AFR	YRI	1
NA19189	AFR	YRI	1
NA19190	AFR	YRI	2
NA19203	AFR	YRI	1
NA19213	AFR	YRI	1
NA19214	AFR	YRI	2
NA19222	AFR	YRI	2
NA19225	AFR	YRI	2
NA19226	AFR	YRI	1
NA19235	AFR	YRI	2
NA19239	AFR	YRI	1
NA19248	AFR	YRI	1
NA19257	AFR	YRI	2
NA19309	AFR	LWK	1
NA19312	AFR	LWK	1
NA19314	AFR	LWK	2
NA19315	AFR	LWK	2
NA19316	AFR	LWK	2
NA19320	AFR	LWK	2
NA19323	AFR	LWK	2
NA19328	AFR	LWK	2
NA19338	AFR	LWK	2
NA19346	AFR	LWK	1
NA19347	AFR	LWK	1
NA19350	AFR	LWK	1
NA19351	AFR	LWK	2
NA19376	AFR	LWK	1
NA19377	AFR	LWK	2
NA19383	AFR	LWK	1
NA19390	AFR	LWK	2
NA19393	AFR	LWK	1
NA19394	AFR	LWK	1
NA19397	AFR	LWK	1
NA19399	AFR	LWK	2
NA19401	AFR	LWK	2
NA19404	AFR	LWK	2
NA19429	AFR	LWK	1
NA19430	AFR	LWK	1
NA19431	AFR	LWK	2
NA19438	AFR	LWK	2
NA19439	AFR	LWK	2
NA19443	AFR	LWK	1
NA19448	AFR	LWK	1
NA19451	AFR	LWK	1
NA19452	AFR	LWK	1
NA19468	AFR	LWK	2
NA19471	AFR	LWK	2
NA19472	AFR	LWK	2
NA19473	AFR	LWK	2
NA19700	AFR	ASW	1
NA19835	AFR	ASW	2
NA19900	AFR	ASW	1
NA19901	AFR	ASW	2
NA19920	AFR	ASW	1
NA19921	AFR	ASW	2
NA19922	AFR	ASW	1
NA19923	AFR	ASW	2
NA20126	AFR	ASW	1
NA20127	AFR	ASW	2
NA20281	AFR	ASW	1
NA20291	AFR	ASW	1
NA20296	AFR	ASW	2
NA20298	AFR	ASW	1
NA20299	AFR	ASW	2
NA20332	AFR	ASW	2
NA20342	AFR	ASW	1
NA20346	AFR	ASW	1
NA20348	AFR	ASW	1
NA20356	AFR	ASW	1
NA20357	AFR	ASW	2
NA20362	AFR	ASW	1
NA20412	AFR	ASW	2
HG00097	EUR	GBR	2
HG00099	EUR	GBR	2
HG00100	EUR	GBR	2
HG00103	EUR	GBR	1
HG00105	EUR	GBR	1
HG00108	EUR	GBR	1
HG00110	EUR	GBR	2
HG00111	EUR	GBR	2
HG00113	EUR	GBR	1
HG00114	EUR	GBR	1
HG00115	EUR	GBR	1
HG00116	EUR	GBR	1
HG00118	EUR	GBR	2
HG00119	EUR	GBR	1
HG00120	EUR	GBR	2
HG00121	EUR	GBR	2
HG00122	EUR	GBR	2
HG00123	EUR	GBR	2
HG00126	EUR	GBR	1
HG00127	EUR	GBR	2
HG00128	EUR	GBR	2
HG00129	EUR	GBR	1
HG00130	EUR	GBR	2
HG00133	EUR	GBR	2
HG00136	EUR	GBR	1
HG00137	EUR	GBR	2
HG00138	EUR	GBR	1
HG00139	EUR	GBR	1
HG00140	EUR	GBR	1
HG00141	EUR	GBR	1
HG00142	EUR	GBR	1
HG00143	EUR	GBR	1
HG00145	EUR	GBR	1
HG00146	EUR	GBR	2
HG00150	EUR	GBR	2
HG00151	EUR	GBR	1
HG00154	EUR	GBR	2
HG00159	EUR	GBR	1
HG00160	EUR	GBR	1
HG00171	EUR	FIN	2
HG00173	EUR	FIN	2
HG00174	EUR	FIN	2
HG00183	EUR	FIN	1
HG00185	EUR	FIN	1
HG00187	EUR	FIN	1
HG00189	EUR	FIN	1
HG00231	EUR	GBR	2
HG00233	EUR	GBR	2
HG00234	EUR	GBR	1
HG00237	EUR	GBR	2
HG00238	EUR	GBR	2
HG00239	EUR	GBR	2
HG00243	EUR	GBR	1
HG00244	EUR	GBR	1
HG00245	EUR	GBR	2
HG00251	EUR	GBR	1
HG00253	EUR	GBR	2
HG00254	EUR	GBR	2
HG00256	EUR	GBR	1
HG00257	EUR	GBR	2
HG00260	EUR	GBR	1
HG00261	EUR	GBR	2
HG00262	EUR	GBR	2
HG00267	EUR	FIN	1
HG00269	EUR	FIN	2
HG00280	EUR	FIN	1
HG00284	EUR	FIN	1
HG00285	EUR	FIN	2
HG00288	EUR	FIN	2
HG00290	EUR	FIN	1
HG00304	EUR	FIN	2
HG00308	EUR	FIN	1
HG00309	EUR	FIN	2
HG00311	EUR	FIN	1
HG00318	EUR	FIN	2
HG00320	EUR	FIN	2
HG00323	EUR	FIN	2
HG00324	EUR	FIN	2
HG00325	EUR	FIN	1
HG00329	EUR	FIN	1
HG00332	EUR	FIN	2
HG00335	EUR	FIN	1
HG00337	EUR	FIN	2
HG00341	EUR	FIN	1
HG00342	EUR	FIN	1
HG00343	EUR	FIN	2
HG00344	EUR	FIN	2
HG00346	EUR	FIN	2
HG00351	EUR	FIN	1
HG00355	EUR	FIN	2
HG00357	EUR	FIN	2
HG00360	EUR	FIN	1
HG00361	EUR	FIN	2
HG00362	EUR	FIN	2
HG00366	EUR	FIN	1
HG00367	EUR	FIN	2
HG00368	EUR	FIN	2
HG00369	EUR	FIN	1
HG00372	EUR	FIN	1
HG00379	EUR	FIN	2
HG00380	EUR	FIN	2
HG00381	EUR	FIN	2
HG00382	EUR	FIN	1
HG00383	EUR	FIN	2
HG00384	EUR	FIN	2
HG01500	EUR	IBS	1
HG01506	EUR	IBS	1
HG01509	EUR	IBS	1
HG01510	EUR	IBS	2
HG01512	EUR	IBS	1
HG01516	EUR	IBS	2
HG01518	EUR	IBS	1
HG01521	EUR	IBS	1
HG01522	EUR	IBS	2
HG01524	EUR	IBS	1
HG01525	EUR	IBS	2
HG01528	EUR	IBS	2
HG01536	EUR	IBS	1
HG01537	EUR	IBS	2
HG01602	EUR	IBS	2
HG01603	EUR	IBS	1
HG01605	EUR	IBS	2
HG01606	EUR	IBS	1
HG01607	EUR	IBS	2
HG01610	EUR	IBS	1
HG01612	EUR	IBS	2
HG01613	EUR	IBS	2
HG01617	EUR	IBS	1
HG01620	EUR	IBS	2
HG01623	EUR	IBS	2
HG01625	EUR	IBS	1
HG01626	EUR	IBS	2
HG01630	EUR	IBS	1
HG01632	EUR	IBS	2
HG01670	EUR	IBS	2
HG01672	EUR	IBS	1
HG01676	EUR	IBS	2
HG01678	EUR	IBS	1
HG01682	EUR	IBS	1
HG01686	EUR	IBS	1
HG01694	EUR	IBS	1
HG01695	EUR	IBS	2
HG01697	EUR	IBS	2
HG01699	EUR	IBS	1
HG01704	EUR	IBS	2
HG01707	EUR	IBS	2
HG01708	EUR	IBS	1
HG01746	EUR	IBS	2
HG01747	EUR	IBS	1
HG01756	EUR	IBS	1
HG01757	EUR	IBS	2
HG01762	EUR	IBS	2
HG01765	EUR	IBS	1
HG01766	EUR	IBS	2
HG01767	EUR	IBS	1
HG01768	EUR	IBS	2
HG01771	EUR	IBS	1
HG01773	EUR	IBS	2
HG01775	EUR	IBS	1
HG01776	EUR	IBS	2
HG01779	EUR	IBS	2
HG01781	EUR	IBS	1
HG01783	EUR	IBS	1
HG01784	EUR	IBS	2
HG01786	EUR	IBS	2
HG02220	EUR	IBS	2
HG02221	EUR	IBS	1
HG02230	EUR	IBS	2
HG02231	EUR	IBS	1
HG02233	EUR	IBS	1
HG02236	EUR	IBS	1
HG02238	EUR	IBS	1
HG02239	EUR	IBS	2
NA06984	EUR	CEU	1
NA06985	EUR	CEU	2
NA06986	EUR	CEU	1
NA06989	EUR	CEU	2
NA06994	EUR	CEU	1
NA07031	EUR	CEU	2
NA07045	EUR	CEU	2
NA07055	EUR	CEU	2
NA07056	EUR	CEU	2
NA07345	EUR	CEU	2
NA07347	EUR	CEU	1
NA07357	EUR	CEU	1
NA11829	EUR	CEU	1
NA11830	EUR	CEU	2
NA11831	EUR	CEU	1
NA11832	EUR	CEU	2
NA11840	EUR	CEU	2
NA11882	EUR	CEU	2
NA11891	EUR	CEU	1
NA11892	EUR	CEU	2
NA11893	EUR	CEU	1
NA11917	EUR	CEU	1
NA11918	EUR	CEU	2
NA11920	EUR	CEU	2
NA11930	EUR	CEU	1
NA11931	EUR	CEU	2
NA11933	EUR	CEU	2
NA11992	EUR	CEU	1
NA11993	EUR	CEU	2
NA11994	EUR	CEU	1
NA11995	EUR	CEU	2
NA12006	EUR	CEU	2
NA12043	EUR	CEU	1
NA12044	EUR	CEU	2
NA12057	EUR	CEU	2
NA12144	EUR	CEU	1
NA12146	EUR	CEU	1
NA12154	EUR	CEU	1
NA12155	EUR	CEU	1
NA12156	EUR	CEU	2
NA12234	EUR	CEU	2
NA12239	EUR	CEU	2
NA12273	EUR	CEU	2
NA12274	EUR	CEU	1
NA12283	EUR	CEU	2
NA12287	EUR	CEU	2
NA12341	EUR	CEU	2
NA12342	EUR	CEU	1
NA12343	EUR	CEU	2
NA12347	EUR	CEU	1
NA12348	EUR	CEU	2
NA12383	EUR	CEU	2
NA12400	EUR	CEU	2
NA12414	EUR	CEU	2
NA12546	EUR	CEU	1
NA12749	EUR	CEU	2
NA12751	EUR	CEU	2
NA12760	EUR	CEU	1
NA12763	EUR	CEU	2
NA12775	EUR	CEU	1
NA12776	EUR	CEU	2
NA12777	EUR	CEU	1
NA12812	EUR	CEU	1
NA12813	EUR	CEU	2
NA12815	EUR	CEU	2
NA12828	EUR	CEU	2
NA12830	EUR	CEU	2
NA12842	EUR	CEU	1
NA12872	EUR	CEU	1
NA12873	EUR	CEU	2
NA12874	EUR	CEU	1
NA12875	EUR	CEU	2
NA12890	EUR	CEU	2
NA12892	EUR	CEU	2
NA20504	EUR	TSI	2
NA20507	EUR	TSI	2
NA20511	EUR	TSI	1
NA20512	EUR	TSI	1
NA20515	EUR	TSI	1
NA20516	EUR	TSI	1
NA20518	EUR	TSI	1
NA20519	EUR	TSI	1
NA20521	EUR	TSI	1
NA20527	EUR	TSI	1
NA20528	EUR	TSI	1
NA20530	EUR	TSI	2
NA20532	EUR	TSI	1
NA20534	EUR	TSI	1
NA20535	EUR	TSI	2
NA20540	EUR	TSI	2
NA20541	EUR	TSI	2
NA20543	EUR	TSI	1
NA20544	EUR	TSI	1
NA20582	EUR	TSI	2
NA20585	EUR	TSI	2
NA20589	EUR	TSI	2
NA20752	EUR	TSI	1
NA20755	EUR	TSI	1
NA20758	EUR	TSI	1
NA20759	EUR	TSI	1
NA20760	EUR	TSI	2
NA20762	EUR	TSI	1
NA20764	EUR	TSI	2
NA20765	EUR	TSI	1
NA20766	EUR	TSI	2
NA20770	EUR	TSI	1
NA20771	EUR	TSI	2
NA20773	EUR	TSI	2
NA20775	EUR	TSI	2
NA20778	EUR	TSI	1
NA20787	EUR	TSI	1
NA20790	EUR	TSI	2
NA20797	EUR	TSI	2
NA20800	EUR	TSI	2
NA20802	EUR	TSI	2
NA20804	EUR	TSI	2
NA20805	EUR	TSI	1
NA20806	EUR	TSI	1
NA20807	EUR	TSI	2
NA20809	EUR	TSI	1
NA20812	EUR	TSI	1
NA20813	EUR	TSI	2
NA20815	EUR	TSI	1
NA20821	EUR	TSI	2
NA20822	EUR	TSI	2
NA20826	EUR	TSI	2
NA20832	EUR	TSI	2
HG01586	SAS	PJL	1
HG01589	SAS	PJL	1
HG01593	SAS	PJL	2
HG02491	SAS	PJL	2
HG02493	SAS	PJL	1
HG02494	SAS	PJL	2
HG02597	SAS	PJL	1
HG02600	SAS	PJL	1
HG02601	SAS	PJL	2
HG02603	SAS	PJL	1
HG02648	SAS	PJL	1
HG02649	SAS	PJL	2
HG02652	SAS	PJL	2
HG02654	SAS	PJL	1
HG02655	SAS	PJL	2
HG02658	SAS	PJL	2
HG02661	SAS	PJL	2
HG02681	SAS	PJL	1
HG02682	SAS	PJL	2
HG02684	SAS	PJL	1
HG02688	SAS	PJL	2
HG02691	SAS	PJL	2
HG02725	SAS	PJL	2
HG02727	SAS	PJL	1
HG02728	SAS	PJL	2
HG02731	SAS	PJL	2
HG02733	SAS	PJL	1
HG02734	SAS	PJL	2
HG02736	SAS	PJL	1
HG02774	SAS	PJL	1
HG02780	SAS	PJL	1
HG02783	SAS	PJL	1
HG02786	SAS	PJL	1
HG02790	SAS	PJL	2
HG02792	SAS	PJL	1
HG02793	SAS	PJL	2
HG03006	SAS	BEB	1
HG03007	SAS	BEB	2
HG03015	SAS	PJL	1
HG03016	SAS	PJL	2
HG03019	SAS	PJL	2
HG03234	SAS	PJL	1
HG03235	SAS	PJL	2
HG03238	SAS	PJL	2
HG03488	SAS	PJL	2
HG03593	SAS	BEB	1
HG03600	SAS	BEB	1
HG03603	SAS	BEB	1
HG03606	SAS	BEB	1
HG03607	SAS	BEB	2
HG03611	SAS	BEB	2
HG03615	SAS	BEB	1
HG03616	SAS	BEB	2
HG03619	SAS	PJL	2
HG03624	SAS	PJL	1
HG03625	SAS	PJL	2
HG03631	SAS	PJL	2
HG03633	SAS	PJL	1
HG03636	SAS	PJL	1
HG03644	SAS	STU	1
HG03646	SAS	STU	1
HG03652	SAS	PJL	1
HG03653	SAS	PJL	2
HG03660	SAS	PJL	1
HG03663	SAS	PJL	1
HG03667	SAS	PJL	1
HG03673	SAS	STU	2
HG03681	SAS	STU	1
HG03682	SAS	STU	1
HG03686	SAS	STU	1
HG03687	SAS	STU	1
HG03689	SAS	STU	2
HG03690	SAS	STU	2
HG03691	SAS	STU	1
HG03696	SAS	STU	1
HG03698	SAS	STU	2
HG03702	SAS	PJL	1
HG03703	SAS	PJL	2
HG03708	SAS	PJL	1
HG03711	SAS	STU	1
HG03713	SAS	ITU	1
HG03716	SAS	ITU	1
HG03717	SAS	ITU	2
HG03718	SAS	ITU	1
HG03722	SAS	ITU	2
HG03727	SAS	ITU	1
HG03731	SAS	ITU	2
HG03733	SAS	STU	2
HG03736	SAS	STU	2
HG03738	SAS	STU	1
HG03740	SAS	STU	1
HG03742	SAS	ITU	1
HG03744	SAS	STU	1
HG03745	SAS	STU	1
HG03746	SAS	STU	1
HG03752	SAS	STU	2
HG03753	SAS	STU	1
HG03754	SAS	STU	2
HG03755	SAS	STU	1
HG03760	SAS	STU	2
HG03761	SAS	PJL	1
HG03767	SAS	PJL	1
HG03772	SAS	ITU	2
HG03773	SAS	ITU	1
HG03774	SAS	ITU	2
HG03775	SAS	ITU	1
HG03780	SAS	ITU	2
HG03782	SAS	ITU	2
HG03787	SAS	ITU	2
HG03788	SAS	ITU	1
HG03789	SAS	ITU	2
HG03790	SAS	ITU	1
HG03792	SAS	ITU	1
HG03794	SAS	BEB	1
HG03797	SAS	BEB	1
HG03799	SAS	BEB	2
HG03800	SAS	BEB	1
HG03805	SAS	BEB	2
HG03806	SAS	BEB	1
HG03809	SAS	BEB	1
HG03814	SAS	BEB	2
HG03815	SAS	BEB	1
HG03823	SAS	BEB	2
HG03824	SAS	BEB	1
HG03832	SAS	BEB	2
HG03836	SAS	STU	2
HG03837	SAS	STU	1
HG03846	SAS	STU	1
HG03849	SAS	STU	2
HG03850	SAS	STU	1
HG03856	SAS	STU	1
HG03857	SAS	STU	2
HG03866	SAS	ITU	1
HG03867	SAS	ITU	1
HG03868	SAS	ITU	2
HG03871	SAS	ITU	1
HG03872	SAS	ITU	1
HG03873	SAS	ITU	2
HG03874	SAS	ITU	2
HG03886	SAS	STU	2
HG03887	SAS	STU	1
HG03890	SAS	STU	1
HG03894	SAS	STU	2
HG03896	SAS	STU	1
HG03899	SAS	STU	1
HG03900	SAS	STU	1
HG03902	SAS	BEB	1
HG03904	SAS	BEB	2
HG03905	SAS	BEB	1
HG03907	SAS	BEB	2
HG03911	SAS	BEB	1
HG03917	SAS	BEB	1
HG03919	SAS	BEB	2
HG03925	SAS	BEB	2
HG03926	SAS	BEB	1
HG03928	SAS	BEB	2
HG03929	SAS	BEB	1
HG03931	SAS	BEB	2
HG03934	SAS	BEB	2
HG03937	SAS	BEB	2
HG03941	SAS	BEB	1
HG03943	SAS	STU	1
HG03947	SAS	STU	2
HG03949	SAS	STU	2
HG03955	SAS	STU	2
HG03960	SAS	ITU	1
HG03967	SAS	ITU	1
HG03969	SAS	ITU	1
HG03971	SAS	ITU	1
HG03973	SAS	ITU	2
HG03976	SAS	ITU	1
HG03977	SAS	ITU	2
HG03978	SAS	ITU	1
HG03986	SAS	STU	2
HG03989	SAS	STU	2
HG03991	SAS	STU	1
HG03998	SAS	STU	1
HG04002	SAS	ITU	1
HG04003	SAS	STU	1
HG04014	SAS	ITU	2
HG04015	SAS	ITU	1
HG04018	SAS	ITU	2
HG04019	SAS	ITU	1
HG04023	SAS	ITU	1
HG04025	SAS	ITU	2
HG04029	SAS	STU	2
HG04033	SAS	STU	1
HG04035	SAS	STU	2
HG04054	SAS	ITU	2
HG04056	SAS	ITU	1
HG04059	SAS	ITU	2
HG04061	SAS	ITU	1
HG04062	SAS	ITU	2
HG04070	SAS	ITU	2
HG04075	SAS	STU	2
HG04076	SAS	ITU	2
HG04080	SAS	ITU	1
HG04096	SAS	ITU	1
HG04098	SAS	ITU	1
HG04106	SAS	STU	2
HG04107	SAS	STU	1
HG04118	SAS	ITU	2
HG04131	SAS	BEB	1
HG04135	SAS	BEB	2
HG04141	SAS	BEB	2
HG04144	SAS	BEB	2
HG04146	SAS	BEB	1
HG04153	SAS	BEB	2
HG04155	SAS	BEB	1
HG04156	SAS	BEB	2
HG04158	SAS	BEB	1
HG04159	SAS	BEB	2
HG04161	SAS	BEB	1
HG04162	SAS	BEB	2
HG04171	SAS	BEB	2
HG04173	SAS	BEB	1
HG04177	SAS	BEB	2
HG04180	SAS	BEB	2
HG04191	SAS	BEB	1
HG04192	SAS	BEB	2
HG04194	SAS	BEB	1
HG04195	SAS	BEB	2
HG04198	SAS	ITU	1
HG04200	SAS	ITU	2
HG04206	SAS	ITU	1
HG04210	SAS	STU	1
HG04211	SAS	ITU	1
HG04214	SAS	ITU	2
HG04216	SAS	ITU	2
HG04219	SAS	ITU	1
HG04222	SAS	ITU	1
HG04225	SAS	ITU	1
HG04227	SAS	STU	2
HG04235	SAS	ITU	1
HG04238	SAS	ITU	1
HG04239	SAS	ITU	1
NA20846	SAS	GIH	1
NA20847	SAS	GIH	2
NA20849	SAS	GIH	2
NA20850	SAS	GIH	1
NA20851	SAS	GIH	2
NA20852	SAS	GIH	1
NA20853	SAS	GIH	2
NA20854	SAS	GIH	2
NA20859	SAS	GIH	2
NA20861	SAS	GIH	1
NA20863	SAS	GIH	1
NA20866	SAS	GIH	1
NA20867	SAS	GIH	1
NA20869	SAS	GIH	2
NA20872	SAS	GIH	2
NA20875	SAS	GIH	2
NA20876	SAS	GIH	2
NA20877	SAS	GIH	2
NA20881	SAS	GIH	2
NA20882	SAS	GIH	2
NA20884	SAS	GIH	1
NA20886	SAS	GIH	2
NA20888	SAS	GIH	2
NA20890	SAS	GIH	1
NA20892	SAS	GIH	2
NA20897	SAS	GIH	1
NA20900	SAS	GIH	2
NA20901	SAS	GIH	1
NA20902	SAS	GIH	2
NA20903	SAS	GIH	1
NA20904	SAS	GIH	1
NA20908	SAS	GIH	2
NA21086	SAS	GIH	2
NA21087	SAS	GIH	1
NA21088	SAS	GIH	2
NA21089	SAS	GIH	2
NA21090	SAS	GIH	1
NA21091	SAS	GIH	1
NA21092	SAS	GIH	1
NA21094	SAS	GIH	1
NA21095	SAS	GIH	1
NA21099	SAS	GIH	1
NA21101	SAS	GIH	2
NA21102	SAS	GIH	2
NA21104	SAS	GIH	1
NA21110	SAS	GIH	2
NA21111	SAS	GIH	1
NA21112	SAS	GIH	1
NA21113	SAS	GIH	1
NA21115	SAS	GIH	1
NA21116	SAS	GIH	1
NA21118	SAS	GIH	1
NA21119	SAS	GIH	1
NA21120	SAS	GIH	2
NA21125	SAS	GIH	2
NA21126	SAS	GIH	1
NA21127	SAS	GIH	1
NA21128	SAS	GIH	1
NA21129	SAS	GIH	1
NA21130	SAS	GIH	1
NA21133	SAS	GIH	1
NA21135	SAS	GIH	1
NA21141	SAS	GIH	2
NA21144	SAS	GIH	2
